,MSFT_pred,GOOGL,IBM,DEXJPUS,DEXUSUK,SP500,DJIA,VIXCLS,MSFT_DT,MSFT_3DT,MSFT_6DT,MSFT_12DT,RSI,MACD,BB_Width,ATR,ROC,Gold_Return,Oil_Return,Treasury_Change,BTC_Return,Rolling_Beta
2016-04-29,0.02414533368892302,-0.03758461266476809,-0.01738913363341421,-0.042130772869174216,0.016198872218643634,-0.012644266916900015,-0.01286360872399861,0.1719298779307219,-0.041357562491874056,-0.07034618671258963,-0.06904187269896633,-0.05697161876808332,29.338400941803698,-0.7499841991885532,15.424379654857173,6.647942190273946,-10.386373677294586,0.04806517293267376,0.04886635717955201,-0.05999999999999983,-0.00756967512680351,1.2322340963753433
2016-05-06,-0.00048276431567195743,0.010373473667935063,0.018812145495186172,-0.0022476128585431354,-0.012799514128838119,-0.0039588256746787565,-0.0018589715912096239,-0.06445359905353198,0.02414533368892302,-0.07287414845567897,-0.04008592658153631,0.02560157824209952,36.921287600850434,-1.025278060263723,19.3215889050447,6.562419274087342,-2.6844251297217196,0.0028659430771522665,-0.027822469141070894,-0.040000000000000036,0.016957473549825686,1.126394248768503
2016-05-13,-0.004313935780247746,0.013600563040586877,0.0029152247145187715,0.022985256585629443,-0.0048597707420123815,-0.005131902825564083,-0.011640356574433852,0.02150620522096336,-0.00048276431567195743,-0.017694993118622993,-0.06002489563623037,0.010150343128195516,43.87934149612213,-0.7131619735879227,17.3356218535888,6.6164238276564005,2.4263724287770416,-0.016375911491294026,0.03411796207449891,-0.08000000000000007,-0.006296091685922711,0.9639152036442935
2016-05-20,0.03524492118334788,-0.0020764209802281997,-0.003187114587724693,0.012565038297130293,0.00997169124115621,0.0027860947581794804,-0.001962538868857777,0.010582109330536937,-0.004313935780247746,0.019348633593003317,-0.050997553119586314,-0.010215228595610082,45.052122624861184,-0.5008244892423903,5.315767449423233,6.52919432290267,1.159080080097477,-0.015450134706320284,0.03278286185688506,0.14000000000000012,-0.03308737870909795,1.205034128112375
2016-05-27,-0.023741484384133482,0.03303190001258205,0.03726026141498817,-0.005989672140741753,0.008985895769763885,0.022518764901043653,0.0210489094294104,-0.14715764433628742,0.03524492118334788,0.030448221087428173,-0.04242592736825079,0.021647814807097543,56.14623629454999,-0.0905820371595567,6.623251144790965,6.494412048752669,3.143958217602367,-0.03130575531683011,0.03255338543738828,0.0,0.07484095629379883,1.3024830480684702
2016-06-06,0.002489995295941405,-0.0036380687165475933,-0.0007203140965819088,-0.02329862742104094,-0.013336280699548508,0.00491866206324687,0.002632319353766732,0.039601738115025764,-0.023741484384133482,0.007189501018966649,-0.010505492099656344,-0.002886164002996683,52.964287015248246,0.15837980519263795,7.236691493673657,6.397166485942461,2.983009394129188,0.025058198889883698,0.0072712256129308095,-0.1200000000000001,0.08668027742101625,1.3094005122640318
2016-06-13,-0.03581712541713644,-0.03892183192199017,-0.009539168520025676,-0.01180894697605428,-0.01583404197035032,-0.014492419045400773,-0.01053783633488159,0.42935332328285947,0.002489995295941405,0.0139934320951558,0.03334206568815912,-0.035699807010807216,38.59302140670828,-0.04171213522326411,6.705735015315607,6.268887963426855,-4.166694096054645,0.0314775287043787,-0.0164353412619338,-0.10999999999999988,0.19145194164690515,1.2908201057233577
2016-06-20,-0.036031606246822,-0.0013967257370781638,0.015284699117946055,-0.016636155339035952,0.03217046129004386,0.0020133057918858555,0.004074029162314474,-0.13237394568679406,-0.03581712541713644,-0.05706861450532852,-0.026620393417900345,-0.06670631999943666,40.59866032169313,-0.3569227217785027,8.230912821018608,6.2087915485296685,-3.9516578937479583,0.004350516132213045,0.009974593920742514,0.04999999999999982,0.059746995308404216,1.308568283840545
2016-06-27,0.03427376115898584,-0.03330262544562368,-0.06808186609958522,-0.025829186159586293,-0.10552695410246499,-0.040512030163673884,-0.03804309997790689,0.2610653181073159,-0.036031606246822,-0.06935873636801704,-0.06216923534905039,-0.12219413098528076,35.75241116473423,-0.3835272893371382,9.402066142054789,6.11941445094551,-3.4104231971287806,0.02488166637673661,-0.0635531916853016,-0.20999999999999996,0.09461970642134965,1.2898522611073535
2016-07-05,0.03843530806900208,0.055033596460789536,0.05543796037899629,-0.011062817804614156,-0.02074936687279877,0.02543874326227069,0.024449208971523362,-0.18520571197381752,0.03427376115898584,-0.037574970504972605,-0.023581538409816805,-0.07457909152940312,51.98187013397214,-0.15870703593631674,7.502290788373207,6.218092623124854,2.1968808252793877,0.02531026451819063,0.005810769436851881,-0.08999999999999986,-0.004032793485435171,1.2579279819208835
